记录ID,用户ID,购买商品数量,商品ID,购买总金额(元),购买时间,是否退款
56,62,1,1614,1787.76,2024-12-22 21:28:00,否
57,24,1,1978,136.27,2024-11-16 18:50:00,否
58,70,5,"1485,1395,1876,1093,1418",3896.84,2024-09-13 08:42:00,否
59,93,2,"1079,1197",1579.86,2024-10-09 03:37:00,否
60,12,1,1564,2772.85,2024-12-28 16:11:00,否
61,96,3,"1547,1184,1350",465.74,2024-06-29 00:19:00,否
62,67,1,1748,698.13,2024-10-01 08:49:00,否
63,40,1,1776,1062.07,2024-04-11 14:56:00,否
64,42,1,1610,37.29,2024-11-08 06:31:00,否
65,25,2,"1725,1143",1596.63,2024-08-30 06:22:00,否
66,53,4,"1313,1853,1251,1286",1944.74,2024-02-09 20:34:00,否
67,77,1,1083,1368.4,2024-06-08 02:57:00,否
68,69,2,"1416,1826",272.6,2024-10-30 02:32:00,否
69,41,2,"1737,1543",1062.54,2024-06-27 00:46:00,否
70,95,1,1875,1464.49,2024-04-21 12:35:00,否
71,53,2,"1079,1257",2088.54,2024-06-18 22:20:00,否
72,3,1,1846,745.04,2024-09-02 22:23:00,否
73,32,1,1554,1245.5,2024-11-24 15:32:00,否
74,26,1,1250,1450.3,2024-04-01 03:17:00,否
75,88,3,"1486,1427,1234",2665.86,2024-03-05 06:56:00,否
76,53,4,"1066,1518,1757,1483",1620.17,2024-09-12 15:01:00,否
77,36,1,1135,866.13,2024-03-03 13:48:00,否
78,88,1,1205,1065.51,2024-09-03 01:53:00,否
79,86,3,"1729,1919,1894",2179.6,2024-10-25 17:10:00,否
80,52,3,"1926,1036,1439",7214.17,2024-04-05 02:34:00,否
81,63,3,"1182,1785,1001",4286.11,2024-09-01 08:44:00,否
82,95,2,"1912,1194",1123.07,2024-11-28 03:26:00,否
83,6,2,"1455,1123",1085.93,2024-03-10 16:43:00,否
84,15,1,1456,2984.52,2024-12-16 23:20:00,否
85,83,4,"1007,1637,1525,1499",7617.88,2024-11-09 01:41:00,否
86,100,2,"1318,1160",4088.43,2024-10-31 16:20:00,否
87,83,3,"1749,1544,1573",2026.83,2024-11-22 23:24:00,否
88,39,3,"1136,1672,1172",3775.12,2024-10-18 00:42:00,否
89,92,4,"1921,1846,1256,1904",2128.08,2024-02-25 17:01:00,否
90,6,2,"1828,1824",789.94,2024-04-09 06:43:00,否
91,22,3,"1477,1803,1036",4692.28,2024-01-20 18:57:00,否
92,36,4,"1545,1146,1776,1192",8771.65,2024-04-15 11:56:00,否
93,65,3,"1814,1492,1636",4626.52,2024-05-25 08:52:00,否
94,39,2,"1390,1129",2364.15,2024-11-16 14:25:00,是
95,61,3,"1081,1416,1559",2609.83,2024-11-24 21:52:00,否
96,75,4,"1666,1467,1827,1865",2043.09,2024-03-26 07:53:00,否
97,46,2,"1706,1771",1746.26,2024-10-08 04:36:00,否
98,84,2,"1459,1575",1111.6,2024-09-25 08:45:00,否
99,53,2,"1055,1370",1601.48,2024-05-19 03:33:00,否
100,67,1,1602,4479.26,2024-01-09 03:14:00,否
101,46,4,"1992,1093,1355,1629",467.0,2024-03-19 21:05:00,否
102,97,5,"1673,1987,1075,1414,1611",6854.62,2024-04-20 13:52:00,否
103,96,4,"1397,1603,1905,1499",2329.55,2024-01-10 10:22:00,否
104,60,2,"1975,1569",2982.45,2024-04-29 13:59:00,否
105,69,5,"1464,1439,1636,1793,1680",9398.36,2024-11-26 20:37:00,否
106,62,1,1112,4035.58,2024-09-27 18:43:00,否
107,83,2,"1990,1666",984.78,2024-11-26 00:41:00,否
108,1,1,1398,453.33,2024-12-27 06:55:00,否
109,84,3,"1752,1115,1348",6066.03,2024-02-08 17:00:00,否
110,41,3,"1353,1881,1039",2081.66,2024-12-01 06:09:00,否
111,40,1,1927,2550.94,2024-02-20 13:48:00,否
112,49,2,"1491,1131",201.32,2024-11-26 00:38:00,否
113,94,3,"1872,1791,1951",4108.08,2024-06-19 20:14:00,否
114,64,3,"1265,1341,1935",5662.47,2024-11-27 15:34:00,否
115,35,1,1446,1454.9,2024-07-01 01:58:00,否
116,23,2,"1383,1612",416.75,2024-02-10 21:39:00,否
117,72,4,"1235,1077,1123,1202",2372.83,2024-06-04 21:34:00,是
118,56,1,1246,61.49,2024-05-14 15:44:00,否
119,14,4,"1465,1926,1454,1022",6754.09,2024-10-27 07:47:00,否
120,80,2,"1343,1667",2441.95,2024-10-28 21:10:00,是
121,5,4,"1426,1114,1597,1489",2348.79,2024-08-06 11:51:00,否
122,56,2,"1351,1440",340.56,2024-07-29 23:06:00,否
123,64,3,"1938,1939,1100",2780.76,2024-03-17 18:23:00,否
124,50,3,"1998,1505,1606",3044.25,2024-07-27 23:54:00,否
125,57,1,1034,159.28,2024-09-09 12:32:00,否
126,98,3,"1125,1347,1925",3949.93,2024-03-07 20:56:00,否
127,83,1,1856,587.53,2024-11-09 06:23:00,否
128,90,3,"1907,1323,1435",1425.71,2024-03-12 02:40:00,否
129,31,2,"1418,1747",3592.66,2024-04-09 06:37:00,否
130,79,1,1640,974.13,2024-07-07 05:20:00,否
131,90,3,"1425,1869,1122",436.04,2024-06-26 23:57:00,否
132,45,1,1303,1306.54,2024-12-19 11:23:00,否
133,65,2,"1075,1523",4413.02,2024-08-25 20:49:00,否
134,89,2,"1711,1436",4908.74,2024-04-21 04:15:00,否
135,67,5,"1285,1033,1403,1794,1428",11283.51,2024-09-29 08:43:00,否
136,45,2,"1403,1239",6736.52,2024-07-24 09:06:00,否
137,28,1,1637,974.91,2024-12-03 01:08:00,否
138,64,1,1100,220.61,2024-06-13 04:08:00,否
139,34,1,1209,175.33,2024-11-18 23:35:00,否
140,36,1,1339,867.29,2024-12-14 02:52:00,是
141,22,4,"1685,1093,1138,1772",5004.39,2024-08-30 11:53:00,否
142,40,4,"1322,1782,1388,1975",5187.7,2024-12-25 16:39:00,否
143,38,5,"1972,1835,1958,1612,1126",7720.46,2024-04-24 21:38:00,否
144,95,3,"1194,1832,1069",4912.16,2024-12-25 13:49:00,否
145,62,2,"1242,1394",3047.23,2024-11-19 20:09:00,否
146,71,1,1204,620.36,2024-11-18 19:19:00,否
147,95,4,"1035,1427,1946,1376",3868.12,2024-11-06 05:52:00,否
148,87,1,1481,109.63,2024-01-28 08:29:00,否
149,50,2,"1230,1713",1377.84,2024-04-02 09:48:00,否
150,69,3,"1781,1182,1121",1448.96,2024-11-08 11:40:00,否
151,41,3,"1334,1680,1159",1368.6,2024-10-14 09:02:00,否
152,35,3,"1887,1016,1775",2841.52,2024-11-17 19:31:00,否
153,16,3,"1258,1909,1176",3090.92,2024-10-16 21:49:00,否
154,91,1,1581,227.39,2024-11-23 05:48:00,否
155,81,4,"1301,1805,1738,1091",4188.76,2024-06-09 05:55:00,否
156,51,4,"1860,1545,1138,1915",6185.0,2024-10-21 05:06:00,否
157,41,2,"1347,1144",1655.56,2024-09-16 14:01:00,否
158,55,3,"1685,1935,1309",2170.7,2024-08-13 10:41:00,否
159,30,3,"1309,1258,1695",3137.73,2024-06-11 07:44:00,是
160,23,2,"1006,1118",2683.96,2024-07-07 14:01:00,否
161,65,1,1067,154.95,2024-10-08 14:12:00,否
162,65,4,"1842,1906,1017,1875",3325.4,2024-04-20 03:52:00,否
163,15,1,1325,2317.34,2024-11-14 18:14:00,否
164,61,4,"1549,1408,1248,1624",1554.69,2024-01-18 16:38:00,否
165,84,2,"1389,1680",177.11,2024-09-14 13:15:00,否
166,75,2,"1048,1325",4561.05,2024-04-05 10:16:00,是
167,39,3,"1668,1637,1914",3088.42,2024-10-13 02:05:00,否
168,11,4,"1405,1232,1106,1073",2791.54,2024-10-22 20:07:00,否
169,37,2,"1697,1034",2785.56,2024-10-20 16:07:00,是
170,84,3,"1991,1613,1016",496.98,2024-03-22 07:55:00,否
171,27,3,"1916,1715,1101",1754.05,2024-12-09 00:17:00,否
172,84,2,"1688,1650",2061.75,2024-05-22 07:56:00,否
173,38,3,"1102,1902,1660",1031.23,2024-11-15 00:33:00,否
174,27,2,"1792,1407",1052.53,2024-03-20 18:52:00,否
175,5,5,"1318,1872,1946,1821,1359",6265.57,2024-04-01 15:05:00,否
176,92,1,1025,3609.81,2024-10-15 07:00:00,否
177,16,2,"1889,1195",1778.68,2024-10-03 00:58:00,否
178,31,1,1894,600.19,2024-11-23 13:56:00,否
179,13,2,"1270,1741",678.21,2024-05-27 22:12:00,否
180,1,3,"1537,1265,1488",1712.29,2024-05-26 00:31:00,否
181,26,1,1596,136.09,2024-09-17 20:02:00,是
182,42,2,"1673,1154",952.25,2024-09-11 00:25:00,否
183,86,3,"1880,1374,1293",2349.63,2024-01-27 19:04:00,否
184,23,3,"1219,1020,1989",5473.71,2024-08-23 07:41:00,否
185,64,5,"1161,1322,1385,1300,1860",4913.66,2024-10-18 08:18:00,否
186,47,2,"1504,1804",1590.78,2024-08-26 15:46:00,否
187,25,4,"1270,1249,1866,1417",3215.99,2024-05-19 00:48:00,否
188,13,3,"1306,1204,1174",1040.79,2024-05-17 01:22:00,否
189,27,4,"1520,1369,1674,1319",4541.86,2024-06-24 22:21:00,否
190,11,3,"1528,1638,1962",1197.11,2024-09-14 03:11:00,否
191,95,3,"1826,1564,1683",4787.2,2024-02-10 13:41:00,否
192,63,2,"1260,1412",1985.85,2024-02-02 04:37:00,否
193,40,2,"1095,1745",1869.79,2024-02-29 22:40:00,否
194,38,3,"1783,1510,1548",1691.7,2024-11-18 08:42:00,否
195,35,2,"1819,1715",1986.34,2024-09-09 23:22:00,否
196,63,1,1205,1065.51,2024-06-08 23:06:00,否
197,85,1,1805,792.83,2024-11-10 00:40:00,否
198,8,5,"1576,1147,1875,1840,1319",2803.83,2024-03-23 13:40:00,否
199,86,4,"1533,1651,1328,1268",3773.15,2024-11-28 06:59:00,否
200,66,3,"1755,1425,1095",1973.33,2024-07-28 07:01:00,否
201,9,1,1218,57.96,2024-01-24 03:41:00,否
202,63,3,"1012,1070,1865",4208.61,2024-06-28 18:35:00,否
203,5,3,"1049,1105,1092",4581.43,2024-11-06 23:56:00,是
204,5,4,"1791,1548,1769,1402",4831.53,2024-03-27 18:19:00,否
205,37,4,"1653,1700,1981,1841",7310.71,2024-03-05 07:23:00,否
206,67,1,1235,463.5,2024-02-19 18:46:00,否
207,37,3,"1425,2000,1178",1916.14,2024-09-02 20:06:00,否
208,57,4,"1303,1425,1163,1685",7321.06,2024-05-17 19:08:00,否
209,52,3,"1267,1988,1062",3130.72,2024-09-17 12:56:00,是
210,3,3,"1685,1629,1833",3140.04,2024-04-05 10:39:00,否
211,97,2,"1135,1628",1759.44,2024-12-21 10:33:00,否
212,61,4,"1197,1595,1227,1876",3923.18,2024-01-30 23:53:00,否
213,85,3,"1633,1757,1429",1671.69,2024-07-16 18:48:00,否
214,11,2,"1016,1588",2094.66,2024-10-16 14:17:00,否
215,32,3,"1507,1113,1785",5252.08,2024-10-14 04:38:00,否
216,51,3,"1034,1888,1177",800.83,2024-07-01 10:56:00,是
217,75,3,"1126,1837,1482",9587.8,2024-03-27 11:14:00,否
218,89,1,1228,3990.24,2024-04-21 18:47:00,否
219,3,1,1350,405.04,2024-10-13 07:26:00,否
220,41,3,"1540,1519,1190",617.31,2024-09-06 00:39:00,否
221,51,5,"1965,1283,1382,1601,1823",7027.2,2024-06-16 16:01:00,否
222,44,3,"1133,1607,1399",1113.7,2024-02-21 08:23:00,否
223,63,4,"1510,1628,1488,1309",1321.11,2024-12-24 01:39:00,否
224,82,3,"1634,1528,1371",1410.83,2024-12-18 23:46:00,否
225,7,4,"1987,1673,1883,1028",1792.4,2024-08-07 22:43:00,否
226,92,5,"1761,1610,1373,1234,1730",3026.08,2024-04-16 07:05:00,否
227,57,5,"1702,1401,1294,1174,1133",1174.86,2024-07-21 20:19:00,否
228,6,1,1526,338.95,2024-09-11 20:03:00,否
229,7,3,"1094,1718,1190",830.91,2024-02-09 06:38:00,是
230,44,1,1952,43.66,2024-10-01 16:56:00,否
231,59,4,"1071,1091,1117,1426",9717.92,2024-08-21 04:42:00,否
232,95,1,1861,89.73,2024-08-11 16:57:00,否
233,89,1,1076,422.51,2024-12-15 17:47:00,否
234,62,2,"1929,1783",762.34,2024-09-15 08:55:00,否
235,20,5,"1785,1920,1146,1097,1429",5836.26,2024-12-24 09:29:00,否
236,46,1,1841,2929.27,2024-05-16 17:37:00,否
237,96,3,"1379,1303,1127",3917.22,2024-07-09 08:27:00,否
238,67,1,1015,79.82,2024-11-11 00:06:00,否
239,18,2,"1012,1254",1645.36,2024-03-04 12:04:00,否
240,57,4,"1138,1057,1273,1479",6095.21,2024-11-24 23:59:00,否
241,98,3,"1444,1178,1590",1911.07,2024-09-26 19:47:00,否
242,52,3,"1308,1747,1947",6293.51,2024-12-20 16:23:00,否
243,56,4,"1384,1482,1812,1580",3126.89,2024-06-27 04:44:00,否
244,84,2,"1773,1400",4137.24,2024-07-06 01:16:00,否
245,37,3,"1705,1562,1083",7886.43,2024-10-16 17:30:00,否
246,21,3,"1941,1373,1267",1193.94,2024-01-11 14:37:00,是
247,77,3,"1500,1389,1694",1045.25,2024-09-24 06:53:00,否
248,48,4,"1092,1355,1039,1991",659.48,2024-02-21 17:01:00,否
249,32,1,1685,1087.66,2024-01-25 00:40:00,否
250,44,4,"1630,1089,1216,1507",7520.46,2024-12-08 12:46:00,否
251,97,4,"1227,1701,1468,1998",4067.75,2024-03-26 10:22:00,否
252,82,3,"1268,1091,1710",794.41,2024-11-13 12:45:00,否
253,8,1,1741,158.5,2024-02-03 19:37:00,是
254,95,3,"1763,1697,1163",7702.29,2024-10-16 03:33:00,否
255,8,2,"1933,1887",5540.77,2024-09-13 18:31:00,否
256,68,1,1707,3195.06,2024-06-12 01:51:00,否
257,12,1,1542,771.26,2024-05-08 11:37:00,是
258,67,1,1405,348.81,2024-05-25 12:43:00,否
259,31,1,1170,29.44,2024-06-20 17:11:00,否
260,84,3,"1934,1333,1253",4150.94,2024-05-02 17:25:00,否
261,89,2,"1958,1763",1660.77,2024-03-13 22:32:00,否
262,9,3,"1563,1853,1393",1411.98,2024-05-05 23:18:00,否
263,56,3,"1386,1928,1070",2768.27,2024-11-13 06:57:00,否
264,31,3,"1727,1725,1380",3073.77,2024-03-10 11:20:00,否
265,70,4,"1398,1098,1566,1773",9485.01,2024-12-01 01:58:00,否
266,99,1,1104,50.38,2024-04-03 08:50:00,否
267,77,2,"1605,1171",3120.65,2024-08-17 17:32:00,否
268,79,3,"1724,1711,1145",3917.38,2024-10-04 08:08:00,否
269,78,2,"1691,1810",2828.86,2024-02-21 16:20:00,否
270,80,4,"1084,1056,1585,1867",2646.34,2024-12-05 20:19:00,否
271,89,1,1372,484.69,2024-03-30 02:36:00,否
272,63,4,"1322,1619,1752,1201",6959.93,2024-04-20 12:22:00,否
273,62,3,"1543,1482,1184",2563.34,2024-05-29 16:06:00,否
274,78,4,"1097,1127,1376,1565",6796.91,2024-07-28 07:45:00,否
275,6,2,"1769,1513",1976.43,2024-06-18 13:46:00,否
276,79,5,"1385,1634,1139,1828,1131",2889.59,2024-04-14 22:06:00,否
277,95,3,"1165,1277,1990",2752.65,2024-12-20 07:25:00,否
278,7,1,1144,443.31,2024-01-30 23:05:00,否
279,36,3,"1143,1151,1673",3451.02,2024-06-29 02:50:00,否
280,54,1,1031,90.2,2024-05-04 13:32:00,否
281,85,1,1222,102.08,2024-10-10 00:11:00,否
282,75,1,1567,43.35,2024-10-05 18:58:00,否
283,44,1,1480,828.71,2024-06-15 19:58:00,否
284,43,1,1795,64.66,2024-02-20 09:27:00,否
285,70,3,"1528,1031,1448",2375.37,2024-01-12 22:30:00,否
286,89,3,"1799,1465,1425",2156.6,2024-12-09 06:39:00,否
287,77,3,"1265,1072,1734",6531.67,2024-08-09 11:04:00,否
288,84,1,1914,945.65,2024-12-17 07:39:00,否
289,47,1,1576,149.21,2024-01-07 18:34:00,否
290,74,4,"1967,1442,1417,1780",2839.9,2024-01-26 02:27:00,否
291,35,4,"1795,1272,1926,1757",6641.79,2024-01-09 09:26:00,否
292,52,2,"1280,1313",760.55,2024-09-27 15:22:00,是
293,85,3,"1139,1843,1829",467.59,2024-01-13 11:57:00,否
294,7,3,"1947,1482,1804",8401.44,2024-01-24 14:01:00,否
295,39,2,"1167,1752",4615.02,2024-03-12 10:46:00,否
296,56,3,"1146,1164,1828",2260.6,2024-09-22 01:43:00,是
297,57,3,"1040,1235,1875",2676.01,2024-12-20 07:28:00,否
298,49,1,1530,273.54,2024-01-08 04:47:00,否
299,40,2,"1449,1686",741.91,2024-06-01 03:38:00,否
300,39,1,1055,222.66,2024-09-09 01:43:00,否
301,6,4,"1517,1784,1978,1912",3665.3,2024-05-05 01:26:00,否
302,92,3,"1522,1224,1852",2973.08,2024-05-02 16:19:00,否
303,74,4,"1835,1829,1391,1362",4761.74,2024-02-03 19:27:00,否
304,90,3,"1978,1088,1466",1170.13,2024-11-25 07:57:00,否
305,66,1,1280,583.05,2024-07-10 19:06:00,否
306,89,3,"1703,1169,1114",5015.36,2024-09-04 06:32:00,是
307,57,3,"1624,1532,1028",1729.28,2024-12-15 23:27:00,否
308,80,2,"1701,1381",297.26,2024-02-18 09:20:00,否
309,76,5,"1266,1702,1708,1211,1303",3756.32,2024-03-20 04:05:00,否
310,65,1,1133,250.86,2024-12-26 18:55:00,否
311,34,2,"1306,1203",240.86,2024-11-03 01:16:00,否
312,6,2,"1244,1887",3943.64,2024-02-22 05:52:00,否
313,31,1,1727,1910.86,2024-06-06 22:50:00,否
314,48,1,1284,871.62,2024-07-06 20:04:00,否
315,15,1,1285,1273.25,2024-12-13 09:21:00,否
316,35,2,"1899,1666",884.81,2024-11-16 16:53:00,否
317,75,3,"1098,1659,1026",3778.83,2024-09-24 16:26:00,否
318,22,1,1028,654.74,2024-12-02 13:34:00,否
319,33,5,"1820,1102,1210,1474,1902",2866.71,2024-09-17 01:00:00,否
320,94,2,"1086,1748",2695.05,2024-04-18 10:55:00,否
321,33,2,"1490,1370",6361.52,2024-11-20 10:17:00,否
322,42,1,1686,624.43,2024-10-22 17:01:00,否
323,46,1,1210,1618.39,2024-08-08 16:55:00,否
324,21,1,1920,229.39,2024-02-12 13:22:00,否
325,20,1,1759,72.66,2024-02-06 16:06:00,否
326,94,1,1362,3067.61,2024-07-20 16:27:00,否
327,54,3,"1273,1204,1817",1878.43,2024-07-27 02:23:00,是
328,68,1,1242,116.34,2024-04-10 17:57:00,否
329,99,3,"1724,1442,1617",2027.54,2024-01-18 07:51:00,否
330,17,3,"1680,1037,1465",1572.21,2024-07-14 06:31:00,否
331,4,4,"1570,1872,1810,1288",3856.31,2024-12-07 22:09:00,否
332,40,3,"1504,1915,1452",2029.43,2024-12-16 22:30:00,否
333,49,1,1155,1148.13,2024-10-18 04:26:00,否
334,75,2,"1800,1922",957.69,2024-11-15 05:28:00,否
335,21,3,"1096,1510,1294",933.28,2024-12-26 07:12:00,否
336,7,4,"1105,1735,1483,1761",7069.53,2024-04-24 13:37:00,是
337,90,4,"1911,1922,1869,1121",1505.1,2024-03-12 01:26:00,否
338,42,4,"1460,1961,1881,1575",4657.32,2024-11-04 22:10:00,否
339,98,1,1394,2930.89,2024-11-08 14:28:00,否
340,53,2,"1230,1925",1063.98,2024-01-07 22:12:00,否
341,47,3,"1841,1605,1720",6113.67,2024-11-23 00:19:00,否
342,54,4,"1172,1864,1531,1493",4681.04,2024-11-17 05:26:00,是
343,31,3,"1831,1205,1130",3584.55,2024-01-15 20:32:00,否
344,21,4,"1172,1686,1055,1890",4809.2,2024-06-29 15:19:00,否
345,88,2,"1824,1468",1918.99,2024-01-16 11:21:00,否
346,47,4,"1927,1850,1394,1298",8185.9,2024-08-27 14:05:00,否
347,66,1,1420,4597.04,2024-06-11 08:07:00,否
348,41,4,"1300,1581,1622,1625",1679.31,2024-12-30 13:38:00,否
349,35,1,1150,4588.63,2024-06-20 06:59:00,否
350,92,1,1714,680.95,2024-11-10 23:11:00,是
351,5,4,"1184,1300,1847,1413",2089.86,2024-05-01 19:20:00,是
352,86,2,"1662,1111",2032.16,2024-03-14 00:48:00,否
353,53,2,"1454,1900",2875.46,2024-08-21 11:52:00,否
354,82,3,"1343,1252,1327",3025.75,2024-11-15 18:00:00,否
355,2,4,"1157,1386,1806,1514",1459.46,2024-03-25 03:44:00,否
356,70,1,1213,167.72,2024-07-06 15:52:00,否
357,2,2,"1965,1823",1847.55,2024-07-22 03:22:00,否
358,56,2,"1215,1950",1209.25,2024-03-28 17:37:00,否
359,89,1,1041,116.63,2024-01-05 03:35:00,否
360,38,1,1902,357.68,2024-08-15 02:27:00,否
361,76,2,"1781,1946",1536.2,2024-04-08 16:21:00,否
362,8,1,1869,268.63,2024-10-09 07:08:00,否
363,62,2,"1483,1216",3170.62,2024-01-30 06:45:00,否
364,5,3,"1201,1863,1940",4831.46,2024-10-19 17:19:00,否
365,51,3,"1827,1384,1445",863.87,2024-07-13 06:38:00,否
366,94,1,1274,1858.49,2024-11-07 16:55:00,否
367,37,5,"1973,1875,1237,1038,1123",6256.5,2024-09-12 06:29:00,否
368,58,1,1188,11.04,2024-09-13 09:34:00,否
369,61,3,"1279,1281,1304",2897.38,2024-06-27 17:31:00,否
370,57,1,1689,669.16,2024-11-03 00:59:00,否
371,14,4,"1562,1912,1423,1115",6415.71,2024-01-27 17:23:00,否
372,70,5,"1848,1783,1388,1443,1408",4379.92,2024-04-15 08:09:00,否
373,83,2,"1312,1069",2255.33,2024-02-14 09:17:00,否
374,28,2,"1223,1335",179.3,2024-08-09 15:27:00,否
375,92,1,1110,1066.44,2024-10-30 07:17:00,否
376,29,4,"1212,1166,1642,1458",7872.9,2024-11-23 04:25:00,否
377,40,1,1675,437.44,2024-09-18 01:46:00,否
378,44,2,"1419,1914",3233.5,2024-02-13 11:08:00,否
379,70,5,"1020,1988,1897,1518,1511",5367.72,2024-06-19 04:16:00,否
380,23,4,"1373,1999,1535,1751",1662.95,2024-04-07 21:21:00,否
381,53,1,1723,45.75,2024-12-11 06:25:00,否
382,79,3,"1615,1308,1472",968.68,2024-07-30 01:59:00,否
383,47,2,"1528,1735",2807.69,2024-08-01 20:56:00,否
384,60,3,"1386,1344,1826",1145.3,2024-02-06 17:19:00,否
385,25,2,"1262,1804",1365.7,2024-11-05 02:40:00,否
386,80,4,"1949,1494,1027,1672",4715.24,2024-02-06 14:47:00,否
387,1,1,1966,784.84,2024-06-11 06:31:00,否
388,46,5,"1716,1972,1237,1655,1999",4260.19,2024-03-29 18:31:00,否
389,23,1,1290,208.83,2024-09-07 06:16:00,否
390,5,1,1433,1601.71,2024-04-20 16:01:00,否
391,23,4,"1323,1838,1519,1931",857.8,2024-12-17 18:48:00,否
392,33,1,1130,744.04,2024-05-29 05:04:00,否
393,17,3,"1462,1720,1995",1158.25,2024-01-10 18:01:00,否
394,33,2,"1866,1017",1712.54,2024-02-01 01:03:00,否
395,33,3,"1323,1417,1218",484.71,2024-03-28 08:09:00,否
396,97,5,"1408,1308,1954,1740,1035",3314.3,2024-09-06 01:25:00,否
397,22,3,"1507,1708,1374",4128.88,2024-11-13 17:14:00,否
398,50,1,1657,1599.13,2024-06-08 10:27:00,否
399,50,2,"1245,1666",3488.69,2024-10-16 15:57:00,否
400,90,1,1158,149.8,2024-12-12 12:24:00,否
401,54,3,"1324,1425,1754",2758.16,2024-02-02 12:26:00,否
402,44,4,"1525,1339,1193,1148",8105.09,2024-10-11 21:35:00,否
403,47,2,"1213,1072",4856.64,2024-09-15 00:13:00,否
404,37,1,1607,739.52,2024-06-01 20:06:00,否
405,59,3,"1254,1835,1758",2818.83,2024-05-21 17:43:00,否
406,84,4,"1680,1120,1733,1566",6230.61,2024-04-13 14:30:00,否
407,70,1,1990,161.22,2024-01-17 07:35:00,否
408,31,3,"1807,1500,1939",2526.47,2024-05-21 19:52:00,否
409,24,5,"1205,1261,1681,1011,1176",6582.28,2024-10-26 09:43:00,是
410,64,3,"1782,1969,1555",6954.12,2024-05-28 19:37:00,否
411,15,1,1721,990.0,2024-09-17 04:21:00,否
